subject,block,rt,response,duration,hist,rsi
2,2,0.593218,0,0.2,R,1.6
2,2,0.7653208,1,0.8,R,1.8
2,2,1.4453586,1,0.5,R,1.9
2,2,0.605157,1,0.8,R,0.9
2,2,1.2852383,1,0.7,R,2.3
2,2,1.554083,1,0.8,R,0.9
2,2,0.4536667,0,0.3,R,1.6
2,2,0.8373314,0,0.4,R,1.3
2,2,0.7212742,1,0.6,R,1.8
2,2,0.5045765,0,0.3,R,1.4
2,2,0.4969608,1,0.7,R,1.1
2,2,0.545569,0,0.6,R,1.3
2,2,0.4599787,0,0.3,R,1.8
2,2,0.5219489,0,0.3,R,1.1
2,2,1.0296087,0,0.3,R,1.9
2,2,0.6933968,1,0.7,R,1.8
2,2,0.3850283,0,0.4,R,1.4
2,2,0.4964039,0,0.5,R,2.1
2,2,0.4169174,0,0.3,R,1.4
2,2,1.3815009,0,0.8,R,1.6
2,2,1.2254614,0,0.8,R,0.9
2,2,1.6172146,1,0.6,R,2.3
2,2,0.4360832,1,0.8,R,1.1
2,2,0.7279459,1,0.7,R,1.4
2,2,1.4498876,0,0.7,R,1.8
2,2,0.6361299,1,0.7,R,1.9
2,2,0.5012654,0,0.4,R,0.9
2,2,0.4882711,0,0.4,R,2.1
2,2,1.0011982,0,0.6,R,1.9
2,2,0.6054186,0,0.5,R,0.9
2,2,0.4173727,1,0.8,R,1.3
2,2,0.6934695,0,0.5,R,1.9
2,2,0.5721273,0,0.4,R,1.6
2,2,0.9554841,0,0.7,R,1.3
2,2,0.3933701,0,0.3,R,1.6
2,2,0.4693302,0,0.2,R,0.9
2,2,0.4581223,0,0.4,R,0.9
2,2,0.4179698,1,0.8,R,1.6
2,2,0.4461877,1,0.8,R,1.6
2,2,1.8570386,0,0.5,R,1.3
2,2,2.0103794,1,0.5,R,1.6
2,2,0.6411802,0,0.4,R,1.3
2,2,0.7285882,1,0.8,R,2.3
2,2,0.6946215,0,0.5,R,1.9
2,2,0.2563603,1,0.8,R,1.9
2,2,0.4253518,1,0.8,R,1.6
2,2,0.4250351,0,0.3,R,1.1
2,2,0.4042027,1,0.7,R,1.8
2,2,0.8620976,0,0.4,R,1.4
2,2,0.6131707,0,0.2,R,1.8
2,2,0.9533651,0,0.5,R,1.6
2,2,1.2042457,1,0.8,R,1.9
2,2,0.6020612,0,0.4,R,2.1
2,2,0.5172731,0,0.5,R,1.3
2,2,1.2002216,0,0.3,R,1.6
2,2,1.8159831,1,0.8,R,1.6
2,3,0.8246514,1,0.8,R,1.6
2,3,0.8893929,1,0.6,R,1.4
2,3,1.3332435,1,0.6,R,1.3
2,3,0.9524092,0,0.4,R,1.6
2,3,0.4474036,0,0.3,R,1.9
2,3,0.4679062,1,0.7,R,1.1
2,3,0.9656653,0,0.5,R,1.8
2,3,1.6527847,0,0.7,R,1.9
2,3,0.381253,1,0.7,R,1.4
2,3,0.4880906,0,0.2,R,1.6
2,3,0.5564278,1,0.7,R,2.1
2,3,0.9653032,1,0.7,R,1.9
2,3,0.579911,0,0.4,R,1.3
2,3,0.4086122,1,0.8,R,1.3
2,3,0.6204458,0,0.3,R,2.1
2,3,0.469221,0,0.3,R,1.6
2,3,0.605158,0,0.4,R,1.4
2,3,0.4720466,0,0.5,R,1.1
2,3,0.4935429,1,0.7,R,1.9
2,3,0.9758154,1,0.6,R,1.3
2,3,0.3856007,0,0.6,R,1.4
2,3,1.6620711,1,0.8,R,1.6
2,3,0.9851473,1,0.8,R,0.9
2,3,0.7535027,0,0.2,R,1.8
2,3,1.4495077,0,0.7,R,1.1
2,3,0.7932621,0,0.5,R,0.9
2,3,1.98892,1,0.8,R,1.8
2,3,0.4615086,0,0.4,R,1.3
2,3,0.7653226,0,0.5,R,1.3
2,3,1.341287,1,0.7,R,2.3
2,3,0.5208047,0,0.2,R,1.6
2,3,0.5924495,0,0.4,R,0.9
2,3,0.738172,1,0.8,R,2.1
2,3,0.5163477,0,0.5,R,1.6
2,3,0.417058,0,0.4,R,1.9
2,3,0.3614458,0,0.2,R,2.3
2,3,0.4574173,0,0.2,R,1.8
2,3,0.8571399,0,0.6,R,1.4
2,3,1.4573766,0,0.7,R,1.8
2,3,0.3725931,0,0.5,R,1.4
2,3,1.8642208,0,0.6,R,1.6
2,3,0.9370168,0,0.6,R,2.3
2,3,0.5494848,0,0.3,R,1.9
2,3,1.1612405,1,0.8,R,0.9
2,3,0.6652143,0,0.6,R,1.9
2,3,0.4413855,1,0.8,R,1.4
2,3,0.4412392,0,0.5,R,1.8
2,3,0.6082298,0,0.3,R,1.9
2,3,0.7124458,1,0.6,R,1.3
2,3,1.3415299,0,0.7,R,1.4
2,3,0.6051554,0,0.3,R,0.9
2,3,0.4581834,0,0.2,R,1.6
2,3,0.5259324,0,0.2,R,2.3
2,3,0.5852926,0,0.4,R,1.1
2,3,0.9642252,0,0.7,R,1.8
2,3,1.5130637,0,0.6,R,2.1
2,3,0.3451114,1,0.7,R,1.1
2,3,0.4803151,0,0.2,R,1.1
2,3,0.3374289,1,0.6,R,1.4
2,3,0.8983217,0,0.8,R,2.1
2,3,0.5234775,0,0.3,R,0.9
2,3,0.4174579,1,0.8,R,1.4
2,3,0.5974483,0,0.4,R,1.8
2,3,1.3695764,0,0.4,R,1.1
2,3,0.8132165,1,0.7,R,2.1
2,3,0.4171667,0,0.2,R,1.1
2,3,0.4557968,0,0.2,R,1.3
2,3,0.9974181,0,0.6,R,1.8
2,3,0.5374198,0,0.5,R,1.3
2,3,0.6013992,0,0.7,R,1.8
2,3,0.4940772,1,0.7,R,1.3
2,3,0.9464928,0,0.6,R,0.9
2,4,0.496157,1,0.6,R,0.9
2,4,0.7640119,1,0.7,R,2.1
2,4,0.3734389,1,0.7,R,1.6
2,4,0.318288,0,0.2,R,2.1
2,4,0.2854456,0,0.3,R,1.4
2,4,0.657223,1,0.7,R,1.3
2,4,0.2732452,1,0.6,R,2.3
2,4,0.2493195,1,0.8,R,2.1
2,4,0.5009511,1,0.6,R,2.1
2,4,0.7923718,0,0.5,R,2.3
2,4,0.5530591,0,0.3,R,2.1
2,4,0.5253288,0,0.3,R,0.9
2,4,0.4123617,1,0.6,R,0.9
2,4,0.4894362,1,0.5,R,1.4
2,4,0.3405807,1,0.7,R,1.3
2,4,0.4682948,0,0.3,R,2.3
2,4,1.7422439,1,0.5,R,1.9
2,4,0.5895041,1,0.5,R,1.6
2,4,0.5356426,1,0.7,R,1.1
2,4,0.6094165,0,0.4,R,1.1
2,4,0.6758162,1,0.7,R,1.4
2,4,0.4328372,1,0.5,R,1.1
2,4,0.8680573,1,0.6,R,1.8
2,4,0.6699306,0,0.6,R,1.4
2,4,0.513465,0,0.4,R,1.3
2,4,1.9914191,1,0.8,R,1.9
2,4,1.0733852,0,0.2,R,1.1
2,4,0.6316135,0,0.4,R,1.4
2,4,1.1252625,0,0.2,R,1.6
2,4,0.3853602,1,0.8,R,1.8
2,4,1.0258874,0,0.4,R,1.8
2,4,0.5183153,0,0.2,R,2.1
2,4,0.6380697,0,0.5,R,0.9
2,4,0.7663074,0,0.3,R,0.9
2,4,0.4172015,0,0.4,R,2.3
2,4,0.385126,1,0.8,R,1.9
2,4,0.4611354,0,0.4,R,1.9
2,4,0.4694329,0,0.2,R,1.4
2,4,0.4056312,0,0.2,R,2.3
2,4,0.3053444,0,0.4,R,1.1
2,4,0.3334172,0,0.3,R,2.1
2,4,0.3532082,1,0.8,R,2.3
2,4,0.836428,1,0.7,R,2.1
2,4,0.4811049,0,0.2,R,1.6
2,4,0.3292851,1,0.8,R,0.9
2,4,0.4573819,0,0.2,R,2.1
2,4,0.2893327,1,0.6,R,1.9
